Total_sqft,Price
1005,110
657.5,18.41
1305,33.28
600,95
1300,115
1440,68
901,35.14
1725,200
900,42
1060,55
1020,48.45
1535,65.99
530,20
1464,56
1350,80
1115,50
1175,47
1113,62
1200,225
1640,240
650,42
1325,71.55
950,31
1396,86.51
1050,52.07
1825,100
1190,49.98
1220,56.5
1565,75
1891,109
900,27
1161,55.15
649.5,17.535
2400,125
315,90
665,36.85
1175,73.5
1425,80
1200,20
1200,56.12
1255,67
2112.95,145
600,22
1810,100
1200,93
1033,49
1548,89.5
1611,66
1400,40.43
1485,67
2400,82
1025,44.5
600,65
1225,53
1256,62.8
2268,163
1100,53
1141,62
400,12
1400,60
4100,140
1559.626694,110
15,30
1175,48.27
1100,56
1843,95.84
1200,240
1460,80.5
1530,74.5
1467,55
950,40
1246,64.5
711,38
1194,46
1358,43.4
1500,130
1420,75
1250,68.75
1280,58
1209,50
4200,225
1215,205
1315,54.8
1800,90
1600,125
1600,65
3968,900
1563,52
1560,72
2169,115
900,170
1050,55.5
3235,235
1200,66
1140,46
1500,170
1560,75
1100,70
1260,40.32
1036,50
1662,85.1
1464,105
1234,80
1403,55
915,54.9
3000,451
1150,42.9
3900,410
850,90
929,46
2400,450
1350,75
1135,39.73
1405,70
1200,45.84
2805,154
1161,64.08
1290,74
2557,141
1480,90
3300,500
1350,54.54
1580,65
1470,88.64
500,14
1346,61.92
1600,90
720,120
1559.626694,29.5
1200,135
1200,35
1340,48.33
6136,560
918,48
1500,115
1315,85
2400,775
1390,62.55
1330,56
3100,265
1824,125
1420,96
750,56.25
1260,60
1561,95
812,165
1060,42
1120,145
1225,67.38
2144,135
1200,140
880,29
1639,110
1240,62
1500,69
1243,46
1575,78
1027,44
1082,56
1637,73
1665,86.58
1265,56.93
1691,102
1100,38
24,150
1500,62
3205,380
1666,150
1115,50
1070,45
1128,105
1162,57
1339,55
1192,75
1920,115
1255,52.32
1357,115
1600,75
1225,55.11
2400,200
1570,80
1093,70
1865,145
1200,165
1039,80
1246,64.5
1985,75
1590,49
4000,675
775,38
1000,50
1800,175
1035,41
1520,75
1360,95
6000,400
1117,56
1200,120
1330,92.5
1937,160
1128,65.49
1053,45
1198,77
1152,56
1200,125
1625,75
1397,105
1523,170
883,45
700,38
1170,62.5
1200,42
2400,170
1480,65
1897,120
996,67
1875,110
1500,98
3095,350
1390,175
1450,65.255
697,45
710,27
910,30.5
1025,48
1000,46.5
1200,244
1453,46.48
3335,300
971.5,36.435
1281,74
565,35
1024,42
1620,62
1254,40
1300,75
1233,43
1200,28
1510,105
950,65
1945,97.42
1008,45
1265,79
1255,77.68
2689,220
1200,46.17
1403,51.63
1535,85
1500,100
1475,120
1390,60.47
1278,53.76
1133,55
1560,145
2900,90
1170,51.99
1200,200
1697,94.79
1651,97.38
1560,188
1192,60
1078,65
800,105
1349,78
2300,210
1680,120
1314,63
1060,48.7
820,39
5000,400
2000,85
856,40
1621,130
1200,68.4
1484,52.5
600,60
14000,800
500,20
485,15
1050,42
1617,66.68
550,16
1384,62.28
1408,85
1150,49
1410,75
2150,100
2292,275
2006,297
1508,70.25
1040,50
1240,60
1535,78
1180,75
2200,68
1400,78
500,25
4800,525
1984,146
3000,250
1960,160
1035,45
2150,80
1700,115
3024,248
1586,100
2264,155
2325,120
1120,55
1662,67.98
1128,59
1200,250
924,65
1600,52
1006,35
1200,55
1250,62
1200,130
957,56
1140,41
1050,67
1565,88.5
1190,57
2842,162
1558.67,65
630,39
1403,60.81
1542,85
2750,220
3596,290
1635,78
1239,53
1194,47
1596,105
1009,38.34
1726,81.99
1535,86
1300,58.5
3100,465
1800,80
665,50.75
4050,1200
1500,100
925,48
3356,251
1395,63.59
1415,55
1419,59
1121,78
1082,45
1100,47
1606,89.55
1650,88
4634,1015
1206,75
1495,64
840,195
710,16
1210,72
1523,53.4
1232,45
680,44
1355,83.87
1430,51.46
1275,43.85
1070,56.1
1200,85
2000,120
1200,40
1610,90
1140,43
1143,38.65
3467.86,249
1530,74.4
980,69
1485,65
1500,130
1280,75
1265,85
1132,67
1262,63
940,49
1515,88
1300,150
1840,69
890,45
1655,86.06
2060,149
1730,96
2195,127
1650,125
1200,71
1079,32.37
1085,36
5000,299
1075,51.5
1380,80
1450,65
1200,78
3200,350
1639,98.32
1200,54
1739,116
4346,500
935,32.72
510,25.25
1200,180
1178,47
1375,50
1065,33
1450,50.75
999,45
4400,475
1350,135
1100,40
1835,155
2090,95.1
1519,93
1267,56
1150,72.2
1146,70
1200,235
1550,65
850,18.5
2200,187
3329,330
785,55
2900,300
1610,74
921,40
850,95
2700,158
1700,110
1020,35
1090,52
3600,300
1027,44
1185,42.1
850,25
1197,84
3500,450
920,39.55
1559.626694,296
1105,65
1850,100
1300,64
1595,76
3073,696
755,37.49
4050,140
1300,69
1215,50
900,46
1145,58.4
1093,65
1213,41.39
1654,100
1105,52.48
1611,66
1367,62
1010,51
750,75
1535,95
620,22
982,47.65
1700,150
1330,71
2500,135
1475,58.99
1410,65
440,16.5
1614,95
1363,68
650,28
1015,45
1156,46
1100,62.7
1455,46
930,45
1650,80
1200,90
700,150
2900,135
1890,127
2197,280
3522,380
1240,46
1440,98
650,38
764,32
900,90
1693,57.39
1445,65
900,45
1030,55
1381,52.48
1100,60
1575,66.39
1200,65
1200,43.2
1080,80
2280,200
1360,85
1865,124
1157,75
674,29
1405,78
1160,44.08
1600,172
1790,127
1128,65.65
1180,70
1450,85
340,10
2000,166
1050,53.5
1125,40
1246,68
1372,61
1330,56
2465,234
1300,55
1420,220
810,50
1065,35
700,27
687.325,42.72
1050,45
1250,39.5
865,42
1200,44
1756,100
750,150
628,24
1200,195
1207,63
1765,125
1130,32.64
1532,92
1650,110
1200,105
804.1,69.09
1200,75
1197,50
1200,66
1385,48.48
1010,148
2225,115
1180,48
1525,122
1100,31.5
1435,70
400,14
1200,50
1272,95.05
1205,39
980,40
1225,46.86
1541,72
1610,111
1694,125
600,75
950,39
1560,66
1201,27
1500,60
1785,75
1258,63.53
910,42
1297,112
1291,49
1070,42
1012,66.5
1260,57.6
1282,72
1843,92.15
2400,200
3356,105
2790,198
1330,86.98
1400,73
1192,71
1000,130
1297,103
615,17.835
1490,100
1373,72
1035,41.39
3750,210
1010,40.39
1195,42
1750,95
1052,50
1180,58
3680,440
2100,73
2863,140
1128,38.24
2700,450
1120,33.6
2424,90
1300,60
1090,32.69
2710,251
3040,180
1330,46.55
1427,80.63
1294,48
1580,75
400,200
1808,80.27
3516,540
1194,47
900,46
1310,50
900,46
3850,195
925,88
2400,150
1290,100
3770,110
1390,120
1200,72
845,33
1537,120
1135,68
1512,75.77
900,55
1230,54
1378,42.33
1277,61.3
1985,189
8000,500
1210,62
890,40
2550,360
1200,110
3198,200
1464,56
2483,215
1550,130
4111,310
975,37.5
2500,250
1690,125
1063,31.89
2572,390
2200,350
1600,80
1250,39.5
520,19.5
4000,212
1390,68
1185,40
1219,48
1564,92
3430,228.5
1100,37.1
1300,60
1600,80
1600,75
1482,92
1000,66
1200,53
600,75
1200,58
600,60
2400,160
1469,89
551,30
1160,52
1205,78.5
1550,52
1745,125
1028,42
1700,180
1200,34
2700,270
1100,50
1200,72
1269.72,68
1266,59
1060,62
1168,70
1552,51
2038.5,120
500,17
1080,43.2
2100,155
1300,65
920,33
817,120
1310,50
1650,75
1515,93.93
1157,53.8
2400,85
3000,160
2200,162
1243,58
1530,74.39
2070,162
1815,82
3900,300
1000,28.88
982,24.55
1232,89
1282,178
654,38.4
1181,55
1075,45
1200,245
1616,75
1800,44.5
1200,135
1306,54.65
1626,89
2700,214
1585,88
1370,56.17
3250,900
1495,90
2000,210
2400,300
1375,57
3715,224.5
1400,48
1100,135
665,28.585
1200,215
1150,46
1080,54
1645,100
1760,176
595,42
1200,125
4624.5,314.5
1410,67
1090,31.48
540,30
1300,60
1890,85
1254,53
2800,125
1275,120
1245,68.48
1170,86
1193,86
850,25.4
1678,70
1600,75
1750,84
1125,62
2200,235
1559.626694,95
2800,200
1200,120
1000,50
2780,480
1320,38.13
8000,230
2422,160
1100,50
882,30
845,37
883,39
776.5,48.145
1595,88
1280,85
1700,550
920,35
1300,57
1450,230
1757,132
600,16.5
2400,142
1240,44
750,90
1330,93.36
1062,42.47
1078,45
1460,72
1200,68.5
1200,48
912,39
1559.626694,115
2400,625
2028,162
980,45.47
1000,40
1050,62
2611,239
1875,150
1065,42.6
1800,180
1163,98.86
1098,72
1725,100
4000,330
1128,75
1320,200
1705,74.16
1418,95
1500,160
1100,50
1464,56
812,55
2817.5,204
1280,40
1420,136
1200,170
727,66
1200,150
2774,207
2000,85
1722,95
2800,330
3817,124
1650,175
840,27
914,47
1482,83.73
1724,127
1670,91.86
1184,53
1200,55
1200,65
927,55
1242,39.7
1220,35.23
1360,75
2800,240
1180,72
1697,108
550,26
1225,57
1690,55
1660,475
1488,57
1250,80
1050,44
1027,44
1699,81.94
1205,58
712,67.5
950,39
1200,70
1476,120
1070,55
2160,172
1296,75
1800,128
1570,64.5
1300,110
1550,65
770,40
1870,110
1650,160
1429,86
1167,39.98
1035,41.73
1188,38
1200,285
1559.626694,76
884,36
1194,46
1026,60.87
1400,200
1115,50
1200,125
2690,191
975,58
675,72.5
1900,170
600,100
1101,65.5
1700,135
3606,312
1258,115
1560,92
3630,195
2000,250
2790,198
1494,94.55
1482,87
800,50
1185,47.39
1100,71.5
1300,120
1225,150
1758,65
1145,55
1180,50
1260,58
3461,173
1190,55
1691,119
3675,367
1305,95.45
2337,292
1200,150
1206,217
1350,130
1140,50.66
1250,65
600,60
1225,48
800,28
1020,58
2100,50
1350,80
925,40
1800,220
2000,100
1510,75
5800,1200
1614,110
682,130
1200,95
900,55
1632,145
1041,65.5
5080,450
3012,250
1530,74.5
1450,135
1200,75
1200,130
1508,110
600,106
1188,73
2690,199
1174,76
1350,58.99
1870,185
1072,25
52272,140
726,31
1345,106
1200,45
980,37
1050,77
993,39.71
1300,52
1743,85
1204,125
1200,67
1480,90
950,32.5
640,55
972,44
1840,98
1128,64
680,42
2400,95
1045,42
955,53.55
1360,54.39
1150,63
3450,294
1115,56.87
920,46
1030,41
1564,101
1045,45
1200,83
1277,55
2479.13,215
1846,140
1100,106
1690,75
1200,70
3042,131
1640,223
1068,40.05
1135,58
1925,120
1615,60
650,26
1200,120
1150,42
930,135
1410,45.12
600,100
2000,207
1354,90
1050,110
600,28
1320,110
1600,88
3500,225
1000,36
1130,38
1238,67
2204,305
1200,110
1364,46.38
900,45
1745,104
1200,53.33
1020,42.83
1650,118
1550,70
1440,60
1329,45.95
916,42
688,50
1358,50
1331,107
686,62.5
1050,50
2106,126
1718,90.2
1530,57
1206,56
1075,52
1200,95
1936,54.21
2172.65,120
1100,75
1260,185
990,120
800,80
1117,29.99
1685,110
740,37
1080,250
1500,93
1800,115
1700,130
850,37.93
1891,139
1400,80
1172,82
1400,40.43
896,43.75
1180,65
2460,350
850,33
530,18
1550,110
1699,97
2025,109
500,14
500,20
1146,38.5
2475,332
1455,145
800,50
765,30
1521,94.99
1600,55
3155,370
2900,240
1765,105
1980,88
1900,135
1265,70
1034,40
1012,59
1070,54
3555,230
1270,70
585,70
2045,154
1490,98
6150,830
883,40
671,36.85
1156,32
2017,125
3122,235
1635,62
4400,120
1296,89
2400,280
1139,62
1230,47
581.91,25
1245,86.28
1158,85
3951,220
550,15
360,26
1350,55
1670,120
1600,65
1307,51.6
1050,57
1703,101
1210,58
1025,29.6
1140,43
1343,56.41
1560,85
925,51
1420,75
1415,110
1210,60
1852,160
1250,50
1100,65
1150,40.25
1100,53.35
1350,100
1546,99
1424,90
1398,68
1650,200
1200,120
1476,105
500,70
1322,58.82
432,40
1100,55
4750,600
1285,68
1150,80
1430,56
1350,62
1350,195
1185,65
1760,67
2400,350
900,41
1297,105
1840,155
950,50.79
1200,70
950,52
1277.5,95.815
1571,89
1031,55
1485,90
1109,60
2200,180
950,50
1200,150
1161,55.15
2350,300
1003,40.6
1350,185
1080,37
1255,73
1250,60
1700,152
1200,66
824,60
1875,167
1320,38.12
9600,550
1330,47
1220,56
1111,50
1197,47.88
2519,185
1340,100
1450,132
1837,145
1200,245
1238,55
1405,59.01
1690,80
1620,110
1673,115
1090,58
1112,40
1385,66.65
545,27
985,58
825,36.29
1080,37.8
1430,97.52
1050,43
2000,139
4800,190
1533,115
2800,500
2610,399
1750,150
1200,66
1352,87.5
1754,125
1560,85
3012,268
3584,199
1470,90
1035,45
2400,329
1160,52
1100,52
1170,38
595,31.83
1650,110
1875,235
800,80
1375,48.06
1235,46.8
750,25
1400,115
1270,50.79
1105,51
1375,85
2168,95
1200,90
1065,40.84
3800,580
3125,350
825,45
1095,40
720,65
1440,60.33
870,39.5
1195,84
1200,49.5
1530,61.2
1708,90.5
975,43
750,25
1200,190
1920,130
1200,240
1183,58.56
1140,90
1550,65
1110,53
1500,165
1105,38.67
1800,68
2800,200
1000,29.9
1190,68
1350,200
3067,230
1929,103
1525,100
1775,110
1125,63
900,42
1155,58
1200,75
1268,73
1500,88
630,47
1525,65
1060,48
1687,127
1847,123
1410,53
1075,42.99
3526,492
3000,338
1500,143
1010,46
1875,110
1200,137
983,50.6
1101,65
1140,76
1215,110
1007,42
2039,168
1020,110
1198,84
4000,520
1470,34.5
1370,75
1316,55.5
1350,55.5
1050,43
1128.76,47.405
921,34
1010,49.27
1015,43
1200,66.5
1179,75
1850,86
870,24
1605,85
2800,89
2475,320
3000,510
2400,110
1000,55
1200,80
1200,125
1200,66
1200,50
1255,57.5
1085,30.38
1592,125
1313,58.27
1934,150
1200,49.5
3600,120
935,45
877,30
936,42
1470,110
1050,70
1232,69.61
2225,169
1200,80
1901,119
1819,100
1464,56
2400,460
3715,200.5
5000,290
1200,169
1256,60
1100,44
4800,302
1435,70
3245,250
1845,110
2400,130
1140,46
1200,60
2254,170
1750,150
1020,37
515,25
1893,140
3025,500
830,34
600,36.5
1075,90
3200,1200
1200,78
1233,77.65
1255,65.26
1200,37.8
2145,175
1500,85
740,34
1250,48
1210,40
1525,60
540,36
1240,84
1245,68
1865,350
1104,36.43
1075,35.99
2200,55
1155,60
1520,62
3122,245
1290,85
2300,80
3000,200
1559.626694,270
400,14
1340,53.6
900,95
1800,324
987,49
1720,100
1040,50
900,64
1030,50
2556,133
1850,168
750,110
1028,31.86
1270,83
1655,115
940,40
1050,85
600,40
946,38
1726,145
2121,253
1404,75
1525,48
1025,57
1575,150
860,43
1223,42.81
3750,550
1197,47.8
1150,52.75
4800,629
1040,46
1310,80
1788,98.34
1144,38.55
1070,39
1200,70
1862,120
1200,58.5
970,27
1646,79.5
4395,242
1200,100
1995,135
2400,450
1085,47.74
1139,56.8
1092,44
1767,98
1700,80
1692,88
1645,100
1345,57
1100,60
1408,62
2400,240
1920,200
6040,170
2072,150
1420,158
2040,137
1220,56
1200,145
1300,79
1150,39
1470,86
1063,31.9
1311,48
3500,350
600,100
1400,55
2200,62
1430,56
1060,55
1000,110
1760,145
2010,92
1480,64.23
1230,43.5
1300,65
800,120
4850,385
1100,52
1752.12,116
957,46.9
790.5,41.9
1942,102
1000,53
668,36.85
3000,1000
600,80
1089,43.55
1800,90
960,18
1036,39.35
1583,105
3300,150
1100,65
800,100
1246,65
850,28
1196,51.51
1697,114
1000,64
1567,90
1200,36
3750,290
950,45
1022,52
1018,23.45
2000,25
1322,68
1800,145
1460,58.39
990,44.55
2400,260
1635,85
3526,558
3400,210
2770,460
3035,200
1533,85
1720,134
2000,200
1185,75.84
900,27
395,10.25
1031,56.35
2400,650
2650,240
2400,415
1330,46.55
1259,57
1570,88
1075,36
1216,79
1428,66
1160,40.59
600,110
1475,70
1754,135
1639,83
1804,102
1200,56.2
1135,55
1260,46.62
1440,110
2160,160
700,85
1220,59.5
1200,67
1300,65
605,29
1230,210
1444,75.97
924,45
1000,30
600,95
1200,225
845,29
700,35
1187,58
1625,55
1200,83
1452.55,110
2357,151
1200,49.5
1139,56.85
600,97.5
1660,75
1170,105
1448,68
1762,110
1105,38.65
1825,105
296,22.89
1200,85
1185,43
1320,38.12
1058,48
1220,60
925,25
1200,72
1160,40.6
600,72
1411,91.72
1550,78
3250,230
2475,130
3181,260.5
2503,188
2524,190
1063,42
1077,37.7
1200,44
1500,70
1045,76.77
1290,45.15
1400,78
1600,58.14
3095,375
1545,58
1680,112
1350,67.5
950,38
1050,45
1305,49
800,120
2700,125
1100,78
3500,160
1634,83.33
1352,85
1145,65
1240,43.79
2200,190
1020,39
3600,365
1168,61
1205,75
1195,100
1028,49
1175,48.27
1550,90
1826,165
2400,160
1603,96
1350,72
714,28
1215,65
1405,77
1142,51
4000,170
1870,90
1313,73
1945,120
1573,95
1255,92
1400,91.15
1235,43.63
1380,52
1500,250
1238,67
1465,74.72
1418,103
1650,165
351,16
1279,48
1870,200
1500,230
2526,250
1550,150
3539.5,424.5
1845,68.27
1360,59.27
1150,75
1260,49.5
1200,74
965,42.5
1350,48
1447,75.97
1229,86.03
1027,43
1153,48.5
2856,145.5
1065,50
1030,61
1340,61
4000,212
600,32
1410,44.42
1055,45.35
1304,79
2720,485
990,31.5
1035,39.33
700,30.09
1120,43
1300,73
1239,82
1403,51.63
1365,92
1165,135
1130,45.19
1776.42,105
900,175
1194,47
1107,33
2319,180
1520,80
1536,89
3000,240
1050,38
1850,146
1112,62
1535,72.5
1050,35
2400,370
1250,65
1187,52
1164,56
1395,62.78
2072,108
1450,60.91
1550,82
1315,90
3067,230
1210,72
1075,47
11338,1000
1215,42.2
1470,75
30000,2100
1590,125
1050,36.75
1306,55.91
2000,250
1445,64
1220,58
3190,160
1215,51.26
1920,88
1390,60
800,75
600,100
1196,71.74
